report_number	local_case_number	agency_name	acrs_report_type	crash_date_time	off_road_description	related_non_motorist	collision_type	weather	light	traffic_control	driver_substance_abuse	non_motorist_substance_abuse	person_id	pedestrian_type	pedestrian_movement	pedestrian_actions	pedestrian_location	pedestrian_obeyed_traffic_signal	pedestrian_visibility	at_fault	injury_severity	safety_equipment	route_type	surface_condition
MCP3336000D	220052925	Montgomery County Police	Injury Crash	2022-11-30T17:50:00.000	HOLY CROSS HOSPITAL PARKING LOT	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	OTHER	NONE DETECTED	NONE DETECTED	C8894659-EBF5-4F0F-B208-2EE6D6AAC7E7	PEDESTRIAN	Cross/Enter not at Intersection	NO IMPROPER ACTIONS	OTHER	OTHER	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP2871008B	220052897	Montgomery County Police	Injury Crash	2022-11-30T17:38:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	0E616280-34E5-47DB-84DC-E10F921BF2A1	PEDESTRIAN	Cross/Enter at Intersection	FAILURE TO YIELD RIGHT OF WAY	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	MIXED CLOTHING	Yes	POSSIBLE INJURY	NONE	Maryland (State)	DRY
MCP2738004D	220052755	Montgomery County Police	Injury Crash	2022-11-29T21:53:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	OTHER	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	9C39FDED-12CA-48F9-8DBC-6E3DB9034031	PEDESTRIAN	Standing	OTHER	MEDIAN	OTHER	MIXED CLOTHING	UNKNOWN	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
EJ78910011	220052753	Gaithersburg Police Depar	Injury Crash	2022-11-29T21:11:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	UNKNOWN	EA8607AC-21DD-4F39-9B2F-C859CC9AD19D	PEDESTRIAN	Cross/Enter at Intersection	FAILURE TO YIELD RIGHT OF WAY	AT INTERSECTION MARKED CROSSWALK	OTHER	MIXED CLOTHING	Yes	SUSPECTED SERIOUS INJURY	NONE	County	DRY
MCP2016006M	220052575	Montgomery County Police	Injury Crash	2022-11-29T06:30:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAWN	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	BF321D26-77C9-46FC-A910-06E63C096B67	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP28810054	220052306	Montgomery County Police	Injury Crash	2022-11-27T12:34:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	RAINING	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	9D4A9CBC-E02F-45D5-B944-8DA46A118FF1	BICYCLIST	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	OTHER	OTHER	No	POSSIBLE INJURY	NONE	County	WET
MCP2356002H	220052093	Montgomery County Police	Injury Crash	2022-11-25T12:00:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	OTHER	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	UNKNOWN	4DF15F87-7D52-48E1-B9F3-1ADCFC5ECAFA	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	OTHER	No	POSSIBLE INJURY	NONE	Maryland (State)	DRY
EJ785600BS	220051981	Gaithersburg Police Depar	Injury Crash	2022-11-24T17:18:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	UNKNOWN	ALCOHOL PRESENT	59C4A90E-2740-4D5B-A16A-7F13EB3C7492	PEDESTRIAN	OTHER	DART DASH	OTHER	OTHER	MIXED CLOTHING	UNKNOWN	SUSPECTED MINOR INJURY	NONE	Maryland (State)	DRY
MCP30940029	220051881	Montgomery County Police	Injury Crash	2022-11-23T18:46:00.000	PARKING LOT OF 19235 WATKINS MILL RD, MONTGOMERY VILLAGE, MD 20886	PEDESTRIAN	OTHER	OTHER	DARK LIGHTS ON	OTHER	NONE DETECTED, UNKNOWN	NONE DETECTED	F0E7DF52-EE9B-4797-A293-E8BF59B56D2B	PEDESTRIAN	OTHER	IN ROADWAY IMPROPERLY	OTHER	OTHER	DARK CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP3330000P	220051790	Montgomery County Police	Injury Crash	2022-11-23T10:30:00.000	UNKNOWN	OTHER CONVEYANCE	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	4D9B4224-1D0C-4299-A86C-FCC4C025D7E3	OTHER CONVEYANCE	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION BUT NO CROSSWALK	OTHER	MIXED CLOTHING	No	SUSPECTED SERIOUS INJURY	NONE	OTHER	DRY
MCP2347003X	220051655	Montgomery County Police	Property Damage Crash	2022-11-22T13:07:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	E967CCAE-C351-45F7-94D5-FB8A7E6D02F5	PEDESTRIAN	Cross/Enter at Intersection	DART DASH	AT INTERSECTION BUT NO CROSSWALK	NO PED. SIGNAL	OTHER	Yes	NO APPARENT INJURY	NONE	County	DRY
MCP287700B9	220051637	Montgomery County Police	Injury Crash	2022-11-22T11:30:00.000	UNKNOWN	OTHER	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	4FBFD76B-78E3-414B-B508-421873FFC35A	OTHER	OTHER	OTHER	ON ROADWAY NOT AT CROSSWALK	OTHER	REFLECTIVE MATERIAL	UNKNOWN	POSSIBLE INJURY	REFLECTIVE CLOTHING	Municipality	DRY
MCP1378012Q	220051521	Montgomery County Police	Injury Crash	2022-11-21T16:59:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	38DB4DE4-6914-4A1F-BB11-C8009D24CEB8	PEDESTRIAN	OTHER	DART DASH	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	POSSIBLE INJURY	NONE	County	DRY
MCP3079004S	220051498	Montgomery County Police	Injury Crash	2022-11-21T15:05:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	NONE DETECTED	AEFDCD46-9384-44B4-922E-D82D29722B29	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	SUSPECTED SERIOUS INJURY	NONE	County	DRY
MCP28810053	220051496	Montgomery County Police	Injury Crash	2022-11-21T14:20:00.000	11530 MIDDLEBROOK RD	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	363F7856-FB79-4FE9-87B2-54CF5C4A6227	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	INSIDE BUILDING	OTHER	OTHER	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP28810053	220051496	Montgomery County Police	Injury Crash	2022-11-21T14:20:00.000	11530 MIDDLEBROOK RD	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	CF60AA02-4D1A-448C-B1A6-17A6306FD8E8	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	INSIDE BUILDING	OTHER	OTHER	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP28810053	220051496	Montgomery County Police	Injury Crash	2022-11-21T14:20:00.000	11530 MIDDLEBROOK RD	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	F4EA78D5-F385-4308-8E9F-C121D6B99C96	PEDESTRIAN	Standing	NO IMPROPER ACTIONS	INSIDE BUILDING	OTHER	OTHER	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP2411009K	220051457	Montgomery County Police	Injury Crash	2022-11-21T11:31:00.000	PARKING LOT BETWEEN POPEYES AND APARTMENT COMPLEX AT 501 HUNGERFORD DR	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	8426A35D-A5BE-4F4F-A5D8-B9954D2A67FF	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	DRIVEWAY ACCESS MARKED CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	OTHER	UNKNOWN
MCP3209003Q	220051269	Montgomery County Police	Property Damage Crash	2022-11-19T19:54:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	OTHER	NONE DETECTED	NONE DETECTED	38333127-72ED-42E7-A0EF-AC9EACBEE568	PEDESTRIAN	Cross/Enter at Intersection	IN ROADWAY IMPROPERLY	AT INTERSECTION BUT NO CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	NO APPARENT INJURY	NONE	County	DRY
EJ7873006C	220051445	Gaithersburg Police Depar	Injury Crash	2022-11-19T18:55:00.000	IN THE PARKING LOT OF 366 N SUMMIT AVE GAITHERSBURG, MD 20877	PEDESTRIAN	OTHER	OTHER	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	NONE DETECTED	2AE81C74-BB4E-46EA-8C95-186FD2094F9E	PEDESTRIAN	OTHER	DART DASH	OTHER	NO PED. SIGNAL	OTHER	Yes	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
DD5520001K	220051215	Rockville Police Departme	Injury Crash	2022-11-19T15:14:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	48984F52-4410-4E8A-8F36-9785A238ED65	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Municipality	DRY
MCP2314001V	220051243	Montgomery County Police	Injury Crash	2022-11-19T12:45:00.000	PARKING LOT IN FRONT OF WORLD MARKET AT 12266 ROCKVILLE PIKE	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	UNKNOWN	UNKNOWN	706FC473-5BCE-46E3-A72E-0C3046BE658A	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	MIDBLOCK MARKED CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED SERIOUS INJURY	NONE	OTHER	UNKNOWN
MCP3026008S	220051197	Montgomery County Police	Injury Crash	2022-11-19T12:39:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	3873A2E6-7D65-4C81-BF8D-FAC16D869B7D	PEDESTRIAN	Getting off/on Vehicle	OTHER	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	REFLECTIVE MATERIAL	Yes	SUSPECTED SERIOUS INJURY	REFLECTIVE CLOTHING	County	DRY
DD561500DK	220051178	Rockville Police Departme	Property Damage Crash	2022-11-19T07:45:00.000	UNKNOWN	BICYCLIST	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	5A96D84B-EEE1-4B82-B809-D5119A8AA7E5	BICYCLIST	Cross/Enter at Intersection	FAILURE TO YIELD RIGHT OF WAY	AT INTERSECTION MARKED CROSSWALK	DISOBEYED PED. SIGNAL	LIGHT CLOTHING	Yes	NO APPARENT INJURY	NONE	Municipality	DRY
MCP3280002R	220050990	Montgomery County Police	Injury Crash	2022-11-18T10:28:00.000	PARKING LOT OF 2300 BROADBIRCH RD	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	NO CONTROLS	NONE DETECTED	NONE DETECTED	53247BF7-7EC7-4F73-B25C-9454E6881334	PEDESTRIAN	OTHER	NO IMPROPER ACTIONS	OTHER	OTHER	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP1301001Z	220050810	Montgomery County Police	Fatal Crash	2022-11-17T08:29:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	STOP SIGN	NONE DETECTED	UNKNOWN	6B218916-770E-423A-9E45-4CF6679E219A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	UNKNOWN	FATAL INJURY	NONE	County	DRY
MCP291400D3	220050760	Montgomery County Police	Injury Crash	2022-11-16T20:30:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	UNKNOWN	UNKNOWN	BBCF0334-4982-4334-BA69-FB7DA87F5B15	PEDESTRIAN	Walking/Cycling on Sidewalk	OTHER	SIDEWALK	NO PED. SIGNAL	REFLECTIVE MATERIAL	No	SUSPECTED MINOR INJURY	REFLECTIVE CLOTHING	Maryland (State)	DRY
MCP2215001Z	220050696	Montgomery County Police	Property Damage Crash	2022-11-16T15:27:00.000	PARKING LOT OF 20910 FREDERICK RD	PEDESTRIAN	OTHER	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	08246468-79FD-4B5A-9B31-F2C8886D3519	PEDESTRIAN	OTHER	OTHER	OTHER	OTHER	MIXED CLOTHING	UNKNOWN	NO APPARENT INJURY	NONE	OTHER	UNKNOWN
MCP32380021	220050613	Montgomery County Police	Injury Crash	2022-11-16T10:41:00.000	UNKNOWN	OTHER CONVEYANCE	OTHER	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	FA47916C-18B7-4261-8F43-4AF0202E90D1	OTHER CONVEYANCE	Cross/Enter at Intersection	FAILURE TO OBEY TRAFFIC SIGNS SIGNALS OR OFFICER	ON ROADWAY AT CROSSWALK	DISOBEYED PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED SERIOUS INJURY	NONE	US (State)	DRY
EJ7893001Y	220050558	Gaithersburg Police Depar	Injury Crash	2022-11-15T21:05:00.000	UNKNOWN	PEDESTRIAN	OTHER	RAINING	DARK LIGHTS ON	YIELD SIGN	NONE DETECTED	NONE DETECTED	3F4211D4-511F-4BAB-986B-D5ABB8824586	PEDESTRIAN	Cross/Enter at Intersection	IN ROADWAY IMPROPERLY	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	Yes	SUSPECTED MINOR INJURY	NONE	Municipality	WET
MCP2686005Q	220050552	Montgomery County Police	Injury Crash	2022-11-15T19:10:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	RAINING	DARK NO LIGHTS	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	1408FB6E-E29F-4CBC-98B4-3AB67F5637FA	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	SUSPECTED MINOR INJURY	NONE	Municipality	WET
MCP31210051	220050528	Montgomery County Police	Injury Crash	2022-11-15T17:44:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	RAINING	DARK NO LIGHTS	STOP SIGN	NONE DETECTED	NONE DETECTED	B4CFEFFF-B542-43AB-A085-48B53F67ED06	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	POSSIBLE INJURY	NONE	County	WET
MCP30380061	220050520	Montgomery County Police	Injury Crash	2022-11-15T17:25:00.000	UNKNOWN	PEDESTRIAN	OTHER	RAINING	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	0FB5511B-4A00-4222-88A1-EF2EA2B410DD	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	County	WET
MCP3005006X	220050517	Montgomery County Police	Injury Crash	2022-11-15T17:05:00.000	UNKNOWN	BICYCLIST	SINGLE VEHICLE	RAINING	DARK NO LIGHTS	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	D97C630E-4535-4A67-B418-2D248E1C1AC5	BICYCLIST	Cross/Enter at Intersection	OTHER	ON ROADWAY AT CROSSWALK	OTHER	MIXED CLOTHING	UNKNOWN	POSSIBLE INJURY	NONE	Maryland (State)	WET
MCP2798005C	220050333	Montgomery County Police	Injury Crash	2022-11-15T16:28:00.000	UNKNOWN	PEDESTRIAN	OTHER	OTHER	DAYLIGHT	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	C35513A4-313B-47D6-AD11-327FD2F303C4	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
MCP2821002N	220050750	Montgomery County Police	Injury Crash	2022-11-15T14:25:00.000	PARKING LOT OF 10215 FERNWOOD RD	PEDESTRIAN	OTHER	OTHER	DAYLIGHT	NO CONTROLS	UNKNOWN	UNKNOWN	A6D82D8D-CEB0-483D-9F20-C48F55D5FC94	PEDESTRIAN	Standing	OTHER	OTHER	OTHER	OTHER	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP2863002K	220050388	Montgomery County Police	Injury Crash	2022-11-14T19:55:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK -- UNKNOWN LIGHTING	STOP SIGN	NONE DETECTED	NONE DETECTED	EBA31F8B-5B29-47C8-BAFB-DCA402E41993	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	ON ROADWAY NOT AT CROSSWALK	NO PED. SIGNAL	DARK CLOTHING	No	SUSPECTED MINOR INJURY	NONE	County	DRY
MCP2001001X	220050349	Montgomery County Police	Injury Crash	2022-11-14T17:38:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DARK LIGHTS ON	OTHER	NONE DETECTED	ALCOHOL PRESENT	3C908496-7760-483E-9940-BF5919D3824D	PEDESTRIAN	Cross/Enter not at Intersection	OTHER	ON ROADWAY NOT AT CROSSWALK	OTHER	DARK CLOTHING	UNKNOWN	SUSPECTED SERIOUS INJURY	NONE	Municipality	DRY
DD5652001Q	220050140	Rockville Police Departme	Property Damage Crash	2022-11-13T15:48:00.000	UNKNOWN	PEDESTRIAN	STRAIGHT MOVEMENT ANGLE	CLEAR	DAYLIGHT	TRAFFIC SIGNAL	UNKNOWN	NONE DETECTED	73431F0A-C874-42F5-9D44-8E08FC445106	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	OBEYED PED. SIGNAL	LIGHT CLOTHING	No	NO APPARENT INJURY	NONE	Municipality	DRY
DM8479001N	220049763	Takoma Park Police Depart	Property Damage Crash	2022-11-10T21:50:00.000	UNKNOWN	OTHER	SAME DIR REAR END	CLEAR	DARK LIGHTS ON	TRAFFIC SIGNAL	NONE DETECTED	NONE DETECTED	F9663677-0CC7-43BD-9018-77BB3911FD6E	OTHER	Standing	OTHER	ON ROADWAY NOT AT CROSSWALK	OTHER	DARK CLOTHING	UNKNOWN	NO APPARENT INJURY	NONE	Maryland (State)	DRY
MCP2492001X	220049754	Montgomery County Police	Injury Crash	2022-11-10T19:30:00.000	UNKNOWN	PEDESTRIAN	OTHER	CLEAR	DARK LIGHTS ON	NO CONTROLS	NONE DETECTED	UNKNOWN	ADF3CC52-EA54-4BE9-8423-80710F5CCE0A	PEDESTRIAN	OTHER	IN ROADWAY IMPROPERLY	OTHER	NO PED. SIGNAL	OTHER	UNKNOWN	SUSPECTED SERIOUS INJURY	NONE	County	DRY
MCP1233004X	220049708	Montgomery County Police	Injury Crash	2022-11-10T17:04:00.000	UNKNOWN	BICYCLIST	SAME DIRECTION LEFT TURN	CLOUDY	DARK NO LIGHTS	NO CONTROLS	NONE DETECTED	NONE DETECTED	DC76EE71-165D-48E1-A4E3-AE76958BE667	BICYCLIST	OTHER	IMPROPER PASSING	ON ROADWAY NOT AT CROSSWALK	OTHER	MIXED CLOTHING	Yes	SUSPECTED MINOR INJURY	MC/BIKE HELMET	County	DRY
MCP289200D0	220049701	Montgomery County Police	Injury Crash	2022-11-10T15:45:00.000	SIDEWALK ADJACENT TO THE 7-11 PARKING LOT	PEDESTRIAN	SINGLE VEHICLE	CLEAR	DAYLIGHT	OTHER	NONE DETECTED	NONE DETECTED	16B4244D-15B3-4B6F-8DF2-34A753005E3A	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	SIDEWALK	NO PED. SIGNAL	MIXED CLOTHING	No	POSSIBLE INJURY	NONE	OTHER	UNKNOWN
MCP284800BX	220049624	Montgomery County Police	Injury Crash	2022-11-10T07:20:00.000	UNKNOWN	PEDESTRIAN	SINGLE VEHICLE	OTHER	DAYLIGHT	STOP SIGN	UNKNOWN	NONE DETECTED	BB24A932-7FF4-4552-BEEE-5D6A233BAD6B	PEDESTRIAN	Cross/Enter at Intersection	NO IMPROPER ACTIONS	AT INTERSECTION MARKED CROSSWALK	NO PED. SIGNAL	LIGHT CLOTHING	No	POSSIBLE INJURY	NONE	County	DRY
